序号,标题,发文日期,效力状态,内容,主题
842,河北省人民政府办公厅转发河北省人民政府国有资产监督管理委员会关于加强设区市人民政府国有资产监管机构建设指导意见的通知, 2005-09-28,有效,,国民经济管理、国有资产监管
843,河北省人民政府办公厅关于推行行政执法责任制的实施意见, 2005-09-14,有效,,其他
844,河北省人民政府办公厅关于印发２００５年全省食品药品专项整治实施意见的通知, 2005-06-13,有效,,市场监管、安全生产监管
845,河北省人民政府办公厅印发《关于严格控制全省机关事业单位增加人员的意见》的通知, 2005-06-10,有效,,其他
846,河北省人民政府办公厅关于切实做好稳定住房价格有关工作的通知, 2005-06-01,有效,,城乡建设、环境保护
847,河北省人民政府办公厅关于认真贯彻工会法支持工会工作的通知, 2005-05-22,有效,各设区市人民政府，各县（市、区）人民政府，省政府有关部门：　　为深入贯彻落实《中华人民共和国工会法》、《河北省实施〈中华人民共和国工会法〉办法》等法律法规和《国务院办公厅关于深入贯彻工会法支持工会工作的通知》（国办发〔２００４〕９０号）精神，为各级工会组织依法履行职责创造良好的环境和条件，特作如下通知：　　一、充分发挥工会组织在全面建设小康社会中的重要作用。各级各有关部门要大力支持工会组织开展劳动竞赛、发明创造、技术革新等活动，深入实施职工经济技术创新工程，团结动员广大职工为全面建设小康社会建功立业。充分发挥工会大学校的作用，重视和支持工会组织开展技术培训、岗位练兵、技能比赛等活动，优化职工成长环境，进一步推进职工队伍知识化进程。要吸收工会参与职工职业技术技能职级的评定，为培养造就高素质的职工队伍服务。要支持工会组织兴办职业介绍、职业培训机构，并纳入公共就业服务体系，对工会组织的下岗失业人员再就业培训工作，要按照有关规定给予一定的资金支持。要高度重视劳动模范的培养和表彰工作，关心爱护劳模，认真落实劳模政策，帮助劳模解决工作和生活中的实际困难，充分发挥其示范带动作用，形成学习劳模、崇尚劳模、关爱劳模、争当劳模的良好社会风尚。　　二、建立健全工会民主参与和劳动关系三方协商机制。一是建立健全省、市、县三级政府与同级工会的联席会议制度，把职工群众的意愿和工会的主张及时体现到政府的总体工作部署中。涉及职工权益较多的部门，要通过召开会议、阶段性工作通报、重大活动专题协调等办法，建立与同级工会经常性的情况沟通和工作协调机制。二是进一步加强劳动关系三方协商机制建设，及时协商解决劳动关系中存在的突出问题。劳动保障部门要与工会和企业组织的代表加强合作，建立健全三方协商的会议制度，完善工作规则，明确职责，规范运作。进一步加强和完善市、县三方协商机制，并逐步向乡镇、街道延伸，采取宣传培训、调查研究、督导检查、评选表彰以及调解处理重大劳动争议和群体性突发事件等方式，组织开展创建劳动关系和谐企业等活动，进一步推进建立和谐稳定的企业劳动关系。　　三、支持工会依法维护职工合法权益。一是坚持和完善以职工代表大会为基本形式的企事业民主管理制度，健全厂务公开制度，支持工会组织职工参与民主管理、民主决策和民主监督，推进基层民主建设，切实保障职工依法行使民主权利。国有企业改制方案和国有控股企业改制为非国有企业的方案，必须提交职工代表大会或职工大会审议，职工分流安置方案必须提交职工代表大会或职工大会审议通过。要大力推进非公有制企业建立健全职工代表大会和厂务公开制度。二是积极推动企业尤其是非公有制企业建立、完善劳动合同制度和平等协商、集体合同制度，维护职工群众的劳动经济权益。各级劳动保障部门要与工会共同推行工资集体协商以及签订工作时间、劳动安全卫生、女职工特殊保护等方面的专项集体合同工作，支持工会组织依法参与劳动争议调解和劳动仲裁工作。各级司法部门要为工会开展职工法律援助工作提供支持和帮助，联合工会组织和各级中小企业管理部门建立联席会议制度，开展以送法进厂、依法治企、维权服务、优化环境、促进发展为宗旨的金色阳光行动，维护民营企业和职工的合法权益。三是高度重视解决困难职工群众的生产生活问题，维护群众切身利益。各级财政部门可视财力情况安排一定数额的送温暖资金，用于各级工会组织开展对困难职工的送温暖活动，作为社会困难群体救助体系的补充形式。推广张家口市困难职工帮扶中心的经验，支持工会建立和完善困难职工帮扶机制。四是保障工会在企业安全生产工作中的各项权利，维护职工群众的身体健康和生命安全。各级安全生产监督管理部门要支持和协助工会组织企业职工参加安全生产教育和安全技能学习，开展经常性的职工群众广泛参与的安全生产竞赛活动；支持和协助工会组织对企业劳动安全卫生状况进行监督检查，吸收工会组织参与企业职业安全卫生设施的“三同时”设计审查和竣工验收、参加职工伤亡事故和严重危害职工健康问题的调查处理工作。　　四、大力支持工会搞好基层组织建设。各级各有关部门要按照“哪里有职工，哪里就必须建立工会组织”的原则，共同推进组建工会、发展会员的工作。要重点抓好非公有制企业的工会组建工作，做到筹建企业的同时建立工会组织，企业开业的同时工会组织开展工作，职工入厂的同时加入工会组织。在国有、集体企业改组改制过程中，要保证工会组织不撤并，工会会员不流失，职工权益不受损。对于擅自撤并工会组织、阻挠工会组织和工会干部依法履职责的，要坚决纠正，依法严肃处理。要认真落实乡镇、街道工会和会员２００人以上的企业、事业单位工会应当设专职工会主席的规定，落实工会专职干部的待遇，切实加强工会干部队伍建设。要加强社区工会组织建设，帮助解决工作中遇到的问题，努力把大量沉淀在社区的职工组织到工会中来。　　五、支持和配合工会依法收缴经费和管理工会资产。各级各有关部门要支持和配合工会做好经费收缴工作，帮助工会解决在经费收缴中遇到的问题。县以上财政部门要认真落实财政开支的行政事业单位工会经费统一划拨的规定，把工会经费列入本级财政预算，及时足额划拨。要积极推广石家庄、承德市由税务部门代收工会经费的做法，帮助工会做好非公有制企业的经费收缴工作。要根据工会经费独立管理的原则，支持工会依法独立建立银行账户，不得随意取消。任何组织和个人不得侵占、挪用或任意调拨工会资产。在国有企业改组改制过程中，要防止工会资产的流失，欠缴的工会经费应及时补缴。各级各有关部门还要从人力、物力、财力上对工会给予必要的支持，切实为工会依法履行职责、有效开展工作创造条件，不断提高工会为职工群众搞好服务的能力和水平。　　二〇〇五年五月二十二日　公开程序：本单位审核后公开责任部门：省政府办公厅秘书一处各设区市人民政府，各县（市、区）人民政府，省政府有关部门：　　为深入贯彻落实《中华人民共和国工会法》、《河北省实施〈中华人民共和国工会法〉办法》等法律法规和《国务院办公厅关于深入贯彻工会法支持工会工作的通知》（国办发〔２００４〕９０号）精神，为各级工会组织依法履行职责创造良好的环境和条件，特作如下通知：　　一、充分发挥工会组织在全面建设小康社会中的重要作用。各级各有关部门要大力支持工会组织开展劳动竞赛、发明创造、技术革新等活动，深入实施职工经济技术创新工程，团结动员广大职工为全面建设小康社会建功立业。充分发挥工会大学校的作用，重视和支持工会组织开展技术培训、岗位练兵、技能比赛等活动，优化职工成长环境，进一步推进职工队伍知识化进程。要吸收工会参与职工职业技术技能职级的评定，为培养造就高素质的职工队伍服务。要支持工会组织兴办职业介绍、职业培训机构，并纳入公共就业服务体系，对工会组织的下岗失业人员再就业培训工作，要按照有关规定给予一定的资金支持。要高度重视劳动模范的培养和表彰工作，关心爱护劳模，认真落实劳模政策，帮助劳模解决工作和生活中的实际困难，充分发挥其示范带动作用，形成学习劳模、崇尚劳模、关爱劳模、争当劳模的良好社会风尚。　　二、建立健全工会民主参与和劳动关系三方协商机制。一是建立健全省、市、县三级政府与同级工会的联席会议制度，把职工群众的意愿和工会的主张及时体现到政府的总体工作部署中。涉及职工权益较多的部门，要通过召开会议、阶段性工作通报、重大活动专题协调等办法，建立与同级工会经常性的情况沟通和工作协调机制。二是进一步加强劳动关系三方协商机制建设，及时协商解决劳动关系中存在的突出问题。劳动保障部门要与工会和企业组织的代表加强合作，建立健全三方协商的会议制度，完善工作规则，明确职责，规范运作。进一步加强和完善市、县三方协商机制，并逐步向乡镇、街道延伸，采取宣传培训、调查研究、督导检查、评选表彰以及调解处理重大劳动争议和群体性突发事件等方式，组织开展创建劳动关系和谐企业等活动，进一步推进建立和谐稳定的企业劳动关系。　　三、支持工会依法维护职工合法权益。一是坚持和完善以职工代表大会为基本形式的企事业民主管理制度，健全厂务公开制度，支持工会组织职工参与民主管理、民主决策和民主监督，推进基层民主建设，切实保障职工依法行使民主权利。国有企业改制方案和国有控股企业改制为非国有企业的方案，必须提交职工代表大会或职工大会审议，职工分流安置方案必须提交职工代表大会或职工大会审议通过。要大力推进非公有制企业建立健全职工代表大会和厂务公开制度。二是积极推动企业尤其是非公有制企业建立、完善劳动合同制度和平等协商、集体合同制度，维护职工群众的劳动经济权益。各级劳动保障部门要与工会共同推行工资集体协商以及签订工作时间、劳动安全卫生、女职工特殊保护等方面的专项集体合同工作，支持工会组织依法参与劳动争议调解和劳动仲裁工作。各级司法部门要为工会开展职工法律援助工作提供支持和帮助，联合工会组织和各级中小企业管理部门建立联席会议制度，开展以送法进厂、依法治企、维权服务、优化环境、促进发展为宗旨的金色阳光行动，维护民营企业和职工的合法权益。三是高度重视解决困难职工群众的生产生活问题，维护群众切身利益。各级财政部门可视财力情况安排一定数额的送温暖资金，用于各级工会组织开展对困难职工的送温暖活动，作为社会困难群体救助体系的补充形式。推广张家口市困难职工帮扶中心的经验，支持工会建立和完善困难职工帮扶机制。四是保障工会在企业安全生产工作中的各项权利，维护职工群众的身体健康和生命安全。各级安全生产监督管理部门要支持和协助工会组织企业职工参加安全生产教育和安全技能学习，开展经常性的职工群众广泛参与的安全生产竞赛活动；支持和协助工会组织对企业劳动安全卫生状况进行监督检查，吸收工会组织参与企业职业安全卫生设施的“三同时”设计审查和竣工验收、参加职工伤亡事故和严重危害职工健康问题的调查处理工作。　　四、大力支持工会搞好基层组织建设。各级各有关部门要按照“哪里有职工，哪里就必须建立工会组织”的原则，共同推进组建工会、发展会员的工作。要重点抓好非公有制企业的工会组建工作，做到筹建企业的同时建立工会组织，企业开业的同时工会组织开展工作，职工入厂的同时加入工会组织。在国有、集体企业改组改制过程中，要保证工会组织不撤并，工会会员不流失，职工权益不受损。对于擅自撤并工会组织、阻挠工会组织和工会干部依法履职责的，要坚决纠正，依法严肃处理。要认真落实乡镇、街道工会和会员２００人以上的企业、事业单位工会应当设专职工会主席的规定，落实工会专职干部的待遇，切实加强工会干部队伍建设。要加强社区工会组织建设，帮助解决工作中遇到的问题，努力把大量沉淀在社区的职工组织到工会中来。　　五、支持和配合工会依法收缴经费和管理工会资产。各级各有关部门要支持和配合工会做好经费收缴工作，帮助工会解决在经费收缴中遇到的问题。县以上财政部门要认真落实财政开支的行政事业单位工会经费统一划拨的规定，把工会经费列入本级财政预算，及时足额划拨。要积极推广石家庄、承德市由税务部门代收工会经费的做法，帮助工会做好非公有制企业的经费收缴工作。要根据工会经费独立管理的原则，支持工会依法独立建立银行账户，不得随意取消。任何组织和个人不得侵占、挪用或任意调拨工会资产。在国有企业改组改制过程中，要防止工会资产的流失，欠缴的工会经费应及时补缴。各级各有关部门还要从人力、物力、财力上对工会给予必要的支持，切实为工会依法履行职责、有效开展工作创造条件，不断提高工会为职工群众搞好服务的能力和水平。　　二〇〇五年五月二十二日　公开程序：本单位审核后公开责任部门：省政府办公厅秘书一处,其他
848,河北省人民政府办公厅关于印发河北省国有企业下岗职工基本生活保障制度向失业保险制度并轨工作实施方案的通知, 2005-04-22,有效,,劳动、人事、监察
849,河北省人民政府办公厅转发省科技厅等部门关于省属转制科研机构深化产权制度改革实施意见的通知, 2005-03-28,有效,,科技、教育
850,河北省人民政府办公厅关于印发依法实施的行政许可项目的通知, 2005-03-25,有效,,其他
851,河北省人民政府办公厅关于完善煤矿安全监察体制有关问题的通知, 2005-03-21,有效,,市场监管、安全生产监管
852,河北省人民政府办公厅转发省民政厅等部门关于进一步加强扶助贫困残疾人工作实施意见的通知, 2005-03-18,有效,,民政、扶贫、救灾
853,河北省人民政府办公厅关于进一步加强气象工作的通知, 2005-02-28,有效,,其他
854,河北省人民政府办公厅关于印发《全面推进省本级政府采购制度实施方案》的通知, 2005-01-26,有效,,其他
855,河北省人民政府办公厅转发省卫生厅等部门关于进一步加强精神卫生工作指导意见的通知, 2005-01-05,有效,,卫生、体育
856,河北省人民政府办公厅转发省商务厅等部门关于进一步做好农村商品流通工作意见的通知, 2004-12-08,有效,,农业、林业、水利
857,河北省人民政府办公厅关于同意迁安市、武安市为省级园林城市的复函, 2004-12-08,有效,,城乡建设、环境保护
858,河北省人民政府办公厅关于支持农村信用社改革配套扶持政策的意见, 2004-12-07,有效,,财政、金融、审计
859,河北省人民政府办公厅关于同意唐山市承办河北省第十二届运动会的复函, 2004-09-01,有效,省体育局：你局冀体字〔２００４〕３９号文收悉。经省政府研究，同意唐山市承办河北省第十二届运动会。请协助唐山市做好各项准备工作。二〇〇四年九月一日公开程序：本单位审核后公开责任部门：省政府办公厅秘书一处省体育局：你局冀体字〔２００４〕３９号文收悉。经省政府研究，同意唐山市承办河北省第十二届运动会。请协助唐山市做好各项准备工作。二〇〇四年九月一日公开程序：本单位审核后公开责任部门：省政府办公厅秘书一处,卫生、体育
860,河北省人民政府办公厅转发省商务厅等部门关于加快实施科技兴贸战略意见的通知, 2004-08-04,有效,,商贸、海关、旅游
861,河北省人民政府办公厅转发省政府纠正行业不正之风办公室关于２００４年全省纠风工作实施意见的通知, 2004-06-03,有效,,其他
862,河北省人民政府办公厅转发《河北省城镇退役士兵自谋职业实施办法》的通知, 2004-04-30,有效,,民政、扶贫、救灾
863,河北省人民政府办公厅关于印发《河北省整顿统一着装工作实施方案》的通知, 2004-04-08,有效,,其他
864,河北省人民政府办公厅转发河北省加快推进清洁生产的实施意见的通知, 2004-04-03,有效,,其他
865,河北省扶持家禽业发展的实施意见, 2004-02-27,有效,,农业、林业、水利
866,河北省人民政府办公厅关于公布省政府国有资产监督管理委员会履行出资人职责企业名单的通知, 2003-12-09,有效,,其他
867,河北省人民政府办公厅转发省机构编制委员会办公室、省财政厅、省人事厅、省劳动和社会保障厅、省畜牧局关于建立健全乡镇动物防疫体系意见的通知, 2003-11-15,有效,  ,其他
868,河北省人民政府办公厅关于转发省发展和改革委员会、省水利厅《河北省水利工程管理体制改革实施意见》的通知, 2003-10-10,有效,,农业、林业、水利
869,河北省人民政府办公厅转发省金融证券工作领导小组办公室等四部门关于做好中小企业融资工作的若干意见的通知, 2003-10-10,有效,,财政、金融、审计
870,河北省人民政府办公厅关于深化安全生产专项整治工作的意见, 2003-08-11,有效,,市场监管、安全生产监管
871,河北省人民政府办公厅关于加快推进下岗失业人员再就业工作的通知, 2003-07-26,有效,,劳动、人事、监察
872,河北省人民政府办公厅关于进一步加强全省煤矿安全生产工作的通知, 2003-07-23,有效,,市场监管、安全生产监管
873,河北省人民政府办公厅关于印发河北省新型农村合作医疗管理办法的通知, 2003-07-14,有效,,卫生、体育
874,河北省人民政府办公厅转发省工商行政管理局关于支持国有企业改革与发展若干意见的通知, 2003-07-05,有效,,其他
875,河北省人民政府办公厅转发省金融证券工作领导小组办公室、人民银行石家庄中心支行关于进一步推进全省发放农户小额信用贷款创建信用村镇工作意见的通知, 2003-06-16,有效,,财政、金融、审计
